step,t,true_n,true_e,true_d,true_vn,true_ve,true_vd,true_qw,true_qx,true_qy,true_qz,true_wx,true_wy,true_wz,est_n,est_e,est_d,est_vn,est_ve,est_vd,est_qw,est_qx,est_qy,est_qz,est_wx,est_wy,est_wz,m0,m1,m2,m3,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz
41,0.164000,0.000000,-0.000000,-4.951150,0.000000,-0.000000,0.364779,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.897019,0.000000,0.000000,0.316409,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530002,0.530002,0.530002,0.530002,0.000000,-0.000000,-10.036941,0.000000,0.000000,0.000000
42,0.168000,0.000000,-0.000000,-4.949696,0.000000,-0.000000,0.363645,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.897081,0.000000,0.000000,0.315156,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.529897,0.529897,0.529897,0.529897,0.000000,-0.000000,-10.066392,0.000000,0.000000,0.000000
43,0.172000,0.000000,-0.000000,-4.948246,0.000000,-0.000000,0.362414,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.897083,0.000000,0.000000,0.313801,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.529787,0.529787,0.529787,0.529787,0.000000,0.000000,-10.093315,0.000000,0.000000,0.000000
44,0.176000,0.000000,-0.000000,-4.946802,0.000000,-0.000000,0.361092,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.897029,0.000000,0.000000,0.312354,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.529671,0.529671,0.529671,0.529671,0.000000,-0.000000,-10.117905,0.000000,0.000000,0.000000
45,0.180000,0.000000,-0.000000,-4.945363,0.000000,-0.000000,0.359689,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.896924,0.000000,0.000000,0.310823,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.529550,0.529550,0.529550,0.529550,0.000000,0.000000,-10.140338,0.000000,0.000000,0.000000
46,0.184000,0.000000,-0.000000,-4.943930,0.000000,-0.000000,0.358212,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.896771,0.000000,0.000000,0.309216,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.529425,0.529425,0.529425,0.529425,0.000000,0.000000,-10.160781,0.000000,0.000000,0.000000
47,0.188000,0.000000,-0.000000,-4.942503,0.000000,-0.000000,0.356667,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.896574,0.000000,0.000000,0.307539,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.529297,0.529297,0.529297,0.529297,0.000000,0.000000,-10.179385,0.000000,0.000000,0.000000
48,0.192000,0.000000,-0.000000,-4.941083,0.000000,-0.000000,0.355060,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.896337,0.000000,0.000000,0.305799,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.529165,0.529165,0.529165,0.529165,0.000000,-0.000000,-10.196293,0.000000,0.000000,0.000000
49,0.196000,0.000000,-0.000000,-4.939670,0.000000,-0.000000,0.353398,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.896063,0.000000,0.000000,0.304003,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.529029,0.529029,0.529029,0.529029,0.000000,-0.000000,-10.211634,0.000000,0.000000,0.000000
50,0.200000,0.000000,-0.000000,-4.938263,0.000000,-0.000000,0.351686,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.895754,0.000000,0.000000,0.302156,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.528891,0.528891,0.528891,0.528891,0.000000,0.000000,-10.225529,0.000000,0.000000,0.000000
51,0.204000,0.000000,-0.000000,-4.936863,0.000000,-0.000000,0.349928,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.895413,0.000000,0.000000,0.300263,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.528751,0.528751,0.528751,0.528751,0.000000,0.000000,-10.238089,0.000000,0.000000,0.000000
52,0.208000,0.000000,-0.000000,-4.935471,0.000000,-0.000000,0.348129,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.895042,0.000000,0.000000,0.298329,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.528608,0.528608,0.528608,0.528608,0.000000,0.000000,-10.249417,0.000000,0.000000,0.000000
53,0.212000,0.000000,-0.000000,-4.934086,0.000000,-0.000000,0.346294,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.894645,0.000000,0.000000,0.296359,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.528464,0.528464,0.528464,0.528464,0.000000,-0.000000,-10.259609,0.000000,0.000000,0.000000
54,0.216000,0.000000,-0.000000,-4.932708,0.000000,-0.000000,0.344427,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.894223,0.000000,0.000000,0.294356,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.528318,0.528318,0.528318,0.528318,0.000000,0.000000,-10.268753,0.000000,0.000000,0.000000
55,0.220000,0.000000,-0.000000,-4.931338,0.000000,-0.000000,0.342530,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.893777,0.000000,0.000000,0.292324,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.528170,0.528170,0.528170,0.528170,0.000000,0.000000,-10.276930,0.000000,0.000000,0.000000
56,0.224000,0.000000,-0.000000,-4.929976,0.000000,-0.000000,0.340607,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.893310,0.000000,0.000000,0.290267,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.528021,0.528021,0.528021,0.528021,0.000000,0.000000,-10.284215,0.000000,0.000000,0.000000
